governor_id,handle_id,twitter_handle,gov_official_handle
1,101,GovernorKayIvey,TRUE
1,102,kayiveyforgov,FALSE
2,103,GovDunleavy,TRUE
3,104,dougducey,TRUE
4,105,AsaHutchinson,TRUE
4,106,AsaforAR,FALSE
5,107,CAgovernor,TRUE
5,108,GavinNewsom,FALSE
6,109,GovofCO,TRUE
6,110,jaredpolis,FALSE
6,111,PolisForCO,FALSE
7,112,GovNedLamont,TRUE
7,113,NedLamont,FALSE
8,114,JohnCarneyDE,TRUE
9,115,GovRonDeSantis,TRUE
9,116,RonDeSantisFL,FALSE
10,117,GovKemp,TRUE
10,118,BrianKempGA,FALSE
11,119,GovHawaii,TRUE
12,120,GovernorLittle,TRUE
13,121,GovPritzker,TRUE
13,122,JBPritzker,FALSE
14,123,GovHolcomb,TRUE
14,124,HolcombForIN,FALSE
15,125,IAGovernor,TRUE
15,126,KimReynoldsIA,FALSE
16,127,GovLauraKelly,TRUE
16,128,LauraKellyKS,FALSE
17,129,GovAndyBeshear,TRUE
17,130,AndyBeshearKY,FALSE
18,131,LouisianaGov,TRUE
18,132,JohnBelforLA,FALSE
19,133,GovJanetMills,TRUE
19,134,JanetMillsforME,FALSE
20,135,GovLarryHogan,TRUE
20,136,LarryHogan,FALSE
21,137,MassGovernor,TRUE
21,138,CharlieBakerMA,FALSE
22,139,GovWhitmer,TRUE
22,140,gretchenwhitmer,FALSE
23,141,GovTimWalz,TRUE
23,142,Tim_Walz,FALSE
24,143,tatereeves,TRUE
25,144,GovParsonMO,TRUE
25,145,mikeparson,FALSE
26,146,GovernorBullock,TRUE
26,147,stevebullockmt,FALSE
27,148,GovRicketts,TRUE
27,149,RickettsForGov,FALSE
28,150,GovSisolak,TRUE
28,151,SteveSisolak,FALSE
29,152,GovChrisSununu,TRUE
29,153,ChrisSununu,FALSE
30,154,GovMurphy,TRUE
30,155,PhilMurphyNJ,FALSE
31,156,GovMLG,TRUE
31,157,Michelle4NM,FALSE
32,158,NYGovCuomo,TRUE
32,159,andrewcuomo,FALSE
33,160,NC_Governor,TRUE
33,161,RoyCooperNC,FALSE
34,162,DougBurgum,TRUE
34,163,DougForDakota,FALSE
35,164,GovMikeDeWine,TRUE
35,165,MikeDeWine,FALSE
36,166,GovStitt,TRUE
37,167,OregonGovBrown,TRUE
38,168,GovernorTomWolf,TRUE
38,169,TomWolfPA,FALSE
39,170,GovRaimondo,TRUE
39,171,GinaRaimondo,FALSE
40,172,henrymcmaster,TRUE
41,173,govkristinoem,TRUE
41,174,KristiNoem,FALSE
42,175,GovBillLee,TRUE
42,176,BillLeeTN,FALSE
43,177,GovAbbott,TRUE
43,178,GregAbbott_TX,FALSE
44,179,GovHerbert,TRUE
45,180,GovPhilScott,TRUE
46,181,GovernorVA,TRUE
46,182,RalphNortham,FALSE
47,183,GovInslee,TRUE
47,184,JayInslee,FALSE
48,185,WVGovernor,TRUE
48,186,JimJusticeWV,FALSE
49,187,GovEvers,TRUE
49,188,Tony4WI,FALSE
50,189,GovernorGordon,TRUE
50,190,Mark_Gordon_WY,FALSE
