record_date,governor_id,cases,deaths
2020-01-21,47,1,0
2020-01-22,47,1,0
2020-01-23,47,1,0
2020-01-24,13,1,0
2020-01-24,47,1,0
2020-01-25,5,1,0
2020-01-25,13,1,0
2020-01-25,47,1,0
2020-01-26,3,1,0
2020-01-26,5,2,0
2020-01-26,13,1,0
2020-01-26,47,1,0
2020-01-27,3,1,0
2020-01-27,5,2,0
2020-01-27,13,1,0
2020-01-27,47,1,0
2020-01-28,3,1,0
2020-01-28,5,2,0
2020-01-28,13,1,0
2020-01-28,47,1,0
2020-01-29,3,1,0
2020-01-29,5,2,0
2020-01-29,13,1,0
2020-01-29,47,1,0
2020-01-30,3,1,0
2020-01-30,5,2,0
2020-01-30,13,2,0
2020-01-30,47,1,0
2020-01-31,3,1,0
2020-01-31,5,3,0
2020-01-31,13,2,0
2020-01-31,47,1,0
2020-02-01,3,1,0
2020-02-01,5,3,0
2020-02-01,13,2,0
2020-02-01,21,1,0
2020-02-01,47,1,0
2020-02-02,3,1,0
2020-02-02,5,6,0
2020-02-02,13,2,0
2020-02-02,21,1,0
2020-02-02,47,1,0
2020-02-03,3,1,0
2020-02-03,5,6,0
2020-02-03,13,2,0
2020-02-03,21,1,0
2020-02-03,47,1,0
2020-02-04,3,1,0
2020-02-04,5,6,0
2020-02-04,13,2,0
2020-02-04,21,1,0
2020-02-04,47,1,0
2020-02-05,3,1,0
2020-02-05,5,6,0
2020-02-05,13,2,0
2020-02-05,21,1,0
2020-02-05,47,1,0
2020-02-05,49,1,0
2020-02-06,3,1,0
2020-02-06,5,6,0
2020-02-06,13,2,0
2020-02-06,21,1,0
2020-02-06,47,1,0
2020-02-06,49,1,0
2020-02-07,3,1,0
2020-02-07,5,6,0
2020-02-07,13,2,0
2020-02-07,21,1,0
2020-02-07,47,1,0
2020-02-07,49,1,0
2020-02-08,3,1,0
2020-02-08,5,6,0
2020-02-08,13,2,0
2020-02-08,21,1,0
2020-02-08,47,1,0
2020-02-08,49,1,0
2020-02-09,3,1,0
2020-02-09,5,6,0
2020-02-09,13,2,0
2020-02-09,21,1,0
2020-02-09,47,1,0
2020-02-09,49,1,0
2020-02-10,3,1,0
2020-02-10,5,7,0
2020-02-10,13,2,0
2020-02-10,21,1,0
2020-02-10,47,1,0
2020-02-10,49,1,0
2020-02-11,3,1,0
2020-02-11,5,7,0
2020-02-11,13,2,0
2020-02-11,21,1,0
2020-02-11,47,1,0
2020-02-11,49,1,0
2020-02-12,3,1,0
2020-02-12,5,7,0
2020-02-12,13,2,0
2020-02-12,21,1,0
2020-02-12,43,1,0
2020-02-12,47,1,0
2020-02-12,49,1,0
2020-02-13,3,1,0
2020-02-13,5,7,0
2020-02-13,13,2,0
2020-02-13,21,1,0
2020-02-13,43,2,0
2020-02-13,47,1,0
2020-02-13,49,1,0
2020-02-14,3,1,0
2020-02-14,5,7,0
2020-02-14,13,2,0
2020-02-14,21,1,0
2020-02-14,43,2,0
2020-02-14,47,1,0
2020-02-14,49,1,0
2020-02-15,3,1,0
2020-02-15,5,7,0
2020-02-15,13,2,0
2020-02-15,21,1,0
2020-02-15,43,2,0
2020-02-15,47,1,0
2020-02-15,49,1,0
2020-02-16,3,1,0
2020-02-16,5,7,0
2020-02-16,13,2,0
2020-02-16,21,1,0
2020-02-16,43,2,0
2020-02-16,47,1,0
2020-02-16,49,1,0
2020-02-17,3,1,0
2020-02-17,5,7,0
2020-02-17,13,2,0
2020-02-17,21,1,0
2020-02-17,27,10,0
2020-02-17,43,2,0
2020-02-17,47,1,0
2020-02-17,49,1,0
2020-02-18,3,1,0
2020-02-18,5,7,0
2020-02-18,13,2,0
2020-02-18,21,1,0
2020-02-18,27,10,0
2020-02-18,43,2,0
2020-02-18,47,1,0
2020-02-18,49,1,0
2020-02-19,3,1,0
2020-02-19,5,7,0
2020-02-19,13,2,0
2020-02-19,21,1,0
2020-02-19,27,10,0
2020-02-19,43,2,0
2020-02-19,47,1,0
2020-02-19,49,1,0
2020-02-20,3,1,0
2020-02-20,5,8,0
2020-02-20,13,2,0
2020-02-20,21,1,0
2020-02-20,27,11,0
2020-02-20,43,2,0
2020-02-20,47,1,0
2020-02-20,49,1,0
2020-02-21,3,1,0
2020-02-21,5,9,0
2020-02-21,13,2,0
2020-02-21,21,1,0
2020-02-21,27,11,0
2020-02-21,43,4,0
2020-02-21,47,1,0
2020-02-21,49,1,0
2020-02-22,3,1,0
2020-02-22,5,9,0
2020-02-22,13,2,0
2020-02-22,21,1,0
2020-02-22,27,11,0
2020-02-22,43,4,0
2020-02-22,47,1,0
2020-02-22,49,1,0
2020-02-23,3,1,0
2020-02-23,5,9,0
2020-02-23,13,2,0
2020-02-23,21,1,0
2020-02-23,27,11,0
2020-02-23,43,4,0
2020-02-23,47,1,0
2020-02-23,49,1,0
2020-02-24,3,1,0
2020-02-24,5,11,0
2020-02-24,13,2,0
2020-02-24,21,1,0
2020-02-24,27,12,0
2020-02-24,43,10,0
2020-02-24,47,5,0
2020-02-24,49,1,0
2020-02-25,3,1,0
2020-02-25,5,11,0
2020-02-25,13,2,0
2020-02-25,21,1,0
2020-02-25,27,13,0
2020-02-25,43,10,0
2020-02-25,44,1,0
2020-02-25,47,5,0
2020-02-25,49,1,0
2020-02-26,3,1,0
2020-02-26,5,26,0
2020-02-26,13,2,0
2020-02-26,21,1,0
2020-02-26,27,13,0
2020-02-26,43,10,0
2020-02-26,44,1,0
2020-02-26,47,5,0
2020-02-26,49,1,0
2020-02-27,3,1,0
2020-02-27,5,26,0
2020-02-27,13,2,0
2020-02-27,21,1,0
2020-02-27,27,13,0
2020-02-27,43,10,0
2020-02-27,44,1,0
2020-02-27,47,5,0
2020-02-27,49,1,0
2020-02-28,3,1,0
2020-02-28,5,27,0
2020-02-28,13,2,0
2020-02-28,21,1,0
2020-02-28,27,13,0
2020-02-28,37,1,0
2020-02-28,43,11,0
2020-02-28,44,1,0
2020-02-28,47,7,0
2020-02-28,49,1,0
2020-02-29,3,1,0
2020-02-29,5,28,0
2020-02-29,13,3,0
2020-02-29,21,1,0
2020-02-29,27,13,0
2020-02-29,37,1,0
2020-02-29,43,11,0
2020-02-29,44,1,0
2020-02-29,47,10,1
2020-02-29,49,1,0
2020-03-01,3,1,0
2020-03-01,5,33,0
2020-03-01,9,2,0
2020-03-01,13,3,0
2020-03-01,21,1,0
2020-03-01,27,13,0
2020-03-01,32,1,0
2020-03-01,37,2,0
2020-03-01,39,2,0
2020-03-01,43,11,0
2020-03-01,44,1,0
2020-03-01,47,17,3
2020-03-01,49,1,0
2020-03-02,3,1,0
2020-03-02,5,38,0
2020-03-02,9,2,0
2020-03-02,10,2,0
2020-03-02,13,4,0
2020-03-02,21,2,0
2020-03-02,27,13,0
2020-03-02,29,1,0
2020-03-02,32,1,0
2020-03-02,37,2,0
2020-03-02,39,2,0
2020-03-02,43,11,0
2020-03-02,44,1,0
2020-03-02,47,23,6
2020-03-02,49,1,0
2020-03-03,3,2,0
2020-03-03,5,45,0
2020-03-03,9,3,0
2020-03-03,10,2,0
2020-03-03,13,4,0
2020-03-03,21,2,0
2020-03-03,27,13,0
2020-03-03,29,2,0
2020-03-03,32,2,0
2020-03-03,33,1,0
2020-03-03,37,2,0
2020-03-03,39,2,0
2020-03-03,43,11,0
2020-03-03,44,1,0
2020-03-03,47,32,10
2020-03-03,49,1,0
2020-03-04,3,2,0
2020-03-04,5,55,1
2020-03-04,9,3,0
2020-03-04,10,2,0
2020-03-04,13,4,0
2020-03-04,21,2,0
2020-03-04,27,13,0
2020-03-04,29,2,0
2020-03-04,30,1,0
2020-03-04,32,11,0
2020-03-04,33,1,0
2020-03-04,37,2,0
2020-03-04,39,2,0
2020-03-04,43,12,0
2020-03-04,44,1,0
2020-03-04,47,47,11
2020-03-04,49,1,0
2020-03-05,3,2,0
2020-03-05,5,67,1
2020-03-05,6,2,0
2020-03-05,9,4,0
2020-03-05,10,2,0
2020-03-05,13,5,0
2020-03-05,20,3,0
2020-03-05,21,3,0
2020-03-05,27,13,0
2020-03-05,28,2,0
2020-03-05,29,2,0
2020-03-05,30,2,0
2020-03-05,32,22,0
2020-03-05,33,1,0
2020-03-05,37,2,0
2020-03-05,39,2,0
2020-03-05,42,1,0
2020-03-05,43,16,0
2020-03-05,44,1,0
2020-03-05,47,75,11
2020-03-05,49,1,0
2020-03-06,3,3,0
2020-03-06,5,81,1
2020-03-06,6,8,0
2020-03-06,9,7,2
2020-03-06,10,3,0
2020-03-06,11,1,0
2020-03-06,13,6,0
2020-03-06,14,1,0
2020-03-06,17,1,0
2020-03-06,20,3,0
2020-03-06,21,8,0
2020-03-06,23,1,0
2020-03-06,27,14,0
2020-03-06,28,2,0
2020-03-06,29,2,0
2020-03-06,30,4,0
2020-03-06,32,44,0
2020-03-06,33,2,0
2020-03-06,36,1,0
2020-03-06,37,2,0
2020-03-06,38,2,0
2020-03-06,39,3,0
2020-03-06,40,2,0
2020-03-06,42,1,0
2020-03-06,43,19,0
2020-03-06,44,3,0
2020-03-06,47,86,12
2020-03-06,49,1,0
2020-03-07,3,5,0
2020-03-07,5,100,1
2020-03-07,6,8,0
2020-03-07,9,12,2
2020-03-07,10,7,0
2020-03-07,11,1,0
2020-03-07,13,6,0
2020-03-07,14,1,0
2020-03-07,16,1,0
2020-03-07,17,1,0
2020-03-07,20,3,0
2020-03-07,21,13,0
2020-03-07,23,1,0
2020-03-07,25,1,0
2020-03-07,27,14,0
2020-03-07,28,2,0
2020-03-07,29,4,0
2020-03-07,30,4,0
2020-03-07,32,89,0
2020-03-07,33,2,0
2020-03-07,36,1,0
2020-03-07,37,6,0
2020-03-07,38,4,0
2020-03-07,39,3,0
2020-03-07,40,2,0
2020-03-07,42,1,0
2020-03-07,43,19,0
2020-03-07,44,3,0
2020-03-07,45,1,0
2020-03-07,46,1,0
2020-03-07,47,110,16
2020-03-07,49,1,0
2020-03-08,3,5,0
2020-03-08,5,112,1
2020-03-08,6,8,0
2020-03-08,7,1,0
2020-03-08,9,13,2
2020-03-08,10,11,0
2020-03-08,11,2,0
2020-03-08,13,7,0
2020-03-08,14,2,0
2020-03-08,15,3,0
2020-03-08,16,1,0
2020-03-08,17,4,0
2020-03-08,20,5,0
2020-03-08,21,28,0
2020-03-08,23,2,0
2020-03-08,25,1,0
2020-03-08,27,16,0
2020-03-08,28,4,0
2020-03-08,29,4,0
2020-03-08,30,6,0
2020-03-08,32,106,0
2020-03-08,33,2,0
2020-03-08,36,1,0
2020-03-08,37,13,0
2020-03-08,38,6,0
2020-03-08,39,3,0
2020-03-08,40,6,0
2020-03-08,42,3,0
2020-03-08,43,23,0
2020-03-08,44,3,0
2020-03-08,45,1,0
2020-03-08,46,2,0
2020-03-08,47,141,19
2020-03-08,49,1,0
2020-03-09,3,6,0
2020-03-09,5,172,2
2020-03-09,6,12,0
2020-03-09,7,2,0
2020-03-09,9,14,2
2020-03-09,10,17,0
2020-03-09,11,2,0
2020-03-09,13,11,0
2020-03-09,14,4,0
2020-03-09,15,8,0
2020-03-09,16,1,0
2020-03-09,17,5,0
2020-03-09,18,1,0
2020-03-09,20,6,0
2020-03-09,21,41,0
2020-03-09,23,2,0
2020-03-09,25,1,0
2020-03-09,27,16,0
2020-03-09,28,4,0
2020-03-09,29,4,0
2020-03-09,30,11,0
2020-03-09,32,142,0
2020-03-09,33,7,0
2020-03-09,35,3,0
2020-03-09,36,1,0
2020-03-09,37,13,0
2020-03-09,38,10,0
2020-03-09,39,3,0
2020-03-09,40,7,0
2020-03-09,42,4,0
2020-03-09,43,24,0
2020-03-09,44,3,0
2020-03-09,45,1,0
2020-03-09,46,5,0
2020-03-09,47,179,22
2020-03-09,49,2,0
2020-03-10,3,6,0
2020-03-10,5,179,3
2020-03-10,6,17,0
2020-03-10,7,2,0
2020-03-10,9,23,2
2020-03-10,10,22,0
2020-03-10,11,2,0
2020-03-10,13,19,0
2020-03-10,14,6,0
2020-03-10,15,13,0
2020-03-10,16,1,0
2020-03-10,17,7,0
2020-03-10,18,6,0
2020-03-10,20,9,0
2020-03-10,21,92,0
2020-03-10,22,2,0
2020-03-10,23,3,0
2020-03-10,25,1,0
2020-03-10,27,17,0
2020-03-10,28,4,0
2020-03-10,29,5,0
2020-03-10,30,15,1
2020-03-10,32,173,0
2020-03-10,33,7,0
2020-03-10,35,3,0
2020-03-10,36,2,0
2020-03-10,37,14,0
2020-03-10,38,12,0
2020-03-10,39,5,0
2020-03-10,40,9,0
2020-03-10,41,5,1
2020-03-10,42,7,0
2020-03-10,43,31,0
2020-03-10,44,4,0
2020-03-10,45,1,0
2020-03-10,46,8,0
2020-03-10,47,279,24
2020-03-10,49,3,0
2020-03-11,3,9,0
