governor_id,handle_id,twitter_handle,gov_official_handle
1,101,GovernorKayIvey,True
1,102,kayiveyforgov,False
2,103,GovDunleavy,True
3,104,dougducey,True
4,105,AsaHutchinson,True
4,106,AsaforAR,False
5,107,CAgovernor,True
5,108,GavinNewsom,False
6,109,GovofCO,True
6,110,jaredpolis,False
6,111,PolisForCO,False
7,112,GovNedLamont,True
7,113,NedLamont,False
8,114,JohnCarneyDE,True
9,115,GovRonDeSantis,True
9,116,RonDeSantisFL,False
10,117,GovKemp,True
10,118,BrianKempGA,False
11,119,GovHawaii,True
12,120,GovernorLittle,True
13,121,GovPritzker,True
13,122,JBPritzker,False
14,123,GovHolcomb,True
14,124,HolcombForIN,False
15,125,IAGovernor,True
15,126,KimReynoldsIA,False
16,127,GovLauraKelly,True
16,128,LauraKellyKS,False
17,129,GovAndyBeshear,True
17,130,AndyBeshearKY,False
18,131,LouisianaGov,True
18,132,JohnBelforLA,False
19,133,GovJanetMills,True
19,134,JanetMillsforME,False
20,135,GovLarryHogan,True
20,136,LarryHogan,False
21,137,MassGovernor,True
21,138,CharlieBakerMA,False
22,139,GovWhitmer,True
22,140,gretchenwhitmer,False
23,141,GovTimWalz,True
23,142,Tim_Walz,False
24,143,tatereeves,True
25,144,GovParsonMO,True
25,145,mikeparson,False
26,146,GovernorBullock,True
26,147,stevebullockmt,False
27,148,GovRicketts,True
27,149,RickettsForGov,False
28,150,GovSisolak,True
28,151,SteveSisolak,False
29,152,GovChrisSununu,True
29,153,ChrisSununu,False
30,154,GovMurphy,True
30,155,PhilMurphyNJ,False
31,156,GovMLG,True
31,157,Michelle4NM,False
32,158,NYGovCuomo,True
32,159,andrewcuomo,False
33,160,NC_Governor,True
33,161,RoyCooperNC,False
34,162,DougBurgum,True
34,163,DougForDakota,False
35,164,GovMikeDeWine,True
35,165,MikeDeWine,False
36,166,GovStitt,True
37,167,OregonGovBrown,True
38,168,GovernorTomWolf,True
38,169,TomWolfPA,False
39,170,GovRaimondo,True
39,171,GinaRaimondo,False
40,172,henrymcmaster,True
41,173,govkristinoem,True
41,174,KristiNoem,False
42,175,GovBillLee,True
42,176,BillLeeTN,False
43,177,GovAbbott,True
43,178,GregAbbott_TX,False
44,179,GovHerbert,True
45,180,GovPhilScott,True
46,181,GovernorVA,True
46,182,RalphNortham,False
47,183,GovInslee,True
47,184,JayInslee,False
48,185,WVGovernor,True
48,186,JimJusticeWV,False
49,187,GovEvers,True
49,188,Tony4WI,False
50,189,GovernorGordon,True
50,190,Mark_Gordon_WY,False
